GameID,TournamentName,StartDate,EndDate,City,Country,TeamPlay,TotalUSDPrize,Game,Year
18758,The Manila Major 2016,6/3/2016,6/12/2016,Manila,Philippines,1,3000000,Dota 2,2016
17314,The Shanghai Major 2016,3/2/2016,3/6/2016,Shangai,China,1,3000000,Dota 2,2016
3163,The International 2013,8/2/2013,8/11/2013,Seattle &  Washington,United States,1,2874381,Dota 2,2013
44740,Peacekeeper Elite League 2020 Season 3,9/25/2020,10/25/2020,Xi'an,China,1,2624145.6,PUBG,2020
8885,Smite World Championship 2015,1/9/2015,1/1/2015,Atlanta,United States,1,2612259,Smite,2015
17526,Halo World Championship 2016,3/18/2016,3/20/2016,Hollywood,United States,1,2500000,Halo,2016
43998,LoL 2020 World Championship,9/25/2020,10/31/2020,Shanghai,China,1,2340000,LOL,2020
38992,LoL 2019 World Championship,10/2/2019,11/10/2019,Berlin,Germany,1,2225000,LOL,2019
36883,Honor of Kings World Champion Cup 2019,7/10/2019,8/10/2019,Shenzhen,China,1,2166994.2,Arena Of Valor,2019
7376,LoL 2014 World Championship,9/18/2014,10/19/2014,Taipei/Singapore,Taiwan/Singapore,1,2130000,LOL,2014
15149,LoL 2015 World Championship,10/1/2015,10/31/2015,Paris,France,1,2130000,LOL,2015
3577,LoL Season 3 World Championship,9/15/2013,10/4/2013,Los Angeles,United States,1,2050000,LOL,2013
19565,Call of Duty XP Championship 2016,9/1/2016,9/4/2016,Los Angeles,United States,1,2000000,COD,2016
36978,CWL Championship 2019,8/14/2019,8/18/2019,Los Angeles,United States,1,2000000,COD,2019
2655,LoL Season 2 World Championship,10/4/2012,10/13/2012,Los Angeles,United States,1,2000000,LOL,2012
33130,Six Invitational 2019,2/11/2019,2/17/2019,Montreal,Canada,1,2000000,R6,2019
30359,Fortnite Fall Skirmish Series - Week 6 - Grand Finabls,10/28/2018,10/28/2018,San José,United States,1,1942500,Fortnite,2018
44745,Peacekeeper Elite Championship 2020,11/14/2020,11/15/2020,Shanghai,China,1,1816080,PUBG,2020
36085,King Pro League Fall 2018,9/12/2018,12/22/2018,Chengdu/Shanghai,China,1,1740360,Arena Of Valor,2018
28780,Overwatch League - Season 1 Playoffs,7/11/2018,7/28/2018,New York,United States,1,1700000,Overwatch,2018
23302,Mid-Season Invitational 2017,4/28/2017,5/21/2017,São Paulo,Brazil,1,1690000,LOL,2017
2316,The International 2011,8/17/2011,8/21/2011,Cologne,Germany,1,1600000,Dota 2,2011
2527,The International 2012,8/26/2012,9/2/2012,Seattle/Washington,United States,1,1600000,Dota 2,2012
24197,CWL Championship 2017,8/9/2017,8/13/2017,Orlando,United States,1,1525000,COD,2017
29547,Fortnite Summer Skirmish Series - Week 8,8/3/2018,9/3/2018,Seattle,United States,0,1501250,Fortnite,2018
28057,China Dota2 Supermajor 2018,6/2/2018,6/10/2018,Shanghai,China,1,1500000,Dota 2,2018
29178,CWL Championship 2018,8/15/2018,8/19/2018,Columbus,United States,1,1500000,COD,2018
21643,WESG 2016 (CS:GO),1/12/2017,1/15/2017,Changzhou,China,1,1500000,CSGO,2017
21642,WESG 2016 (Dota 2),1/12/2017,1/15/2017,Changzhou,China,1,1500000,Dota 2,2017
27168,WESG 2017 (CS:GO Male),3/13/2018,3/18/2018,Haikou,China,1,1500000,CSGO,2018
27167,WESG 2017 (Dota 2),3/13/2018,3/18/2018,Haikou/Hainan,China,1,1500000,Dota 2,2018
19191,ELEAGUE Season 1,5/24/2016,7/30/2016,Atlanta,United States,1,1410000,CSGO,2016
40509,Shadowverse World Grand Prix 2019,12/25/2019,12/27/2019,Tokyo/Saitama,Japan,0,1387727.29,Shadowverse,2019
27858,Mid-Season Invitational 2018,5/3/2018,5/20/2018,Berlin/Paris,Germany/France,1,1370520,LOL,2018
42804,Winter Royale 2019 EU Day 1 PC,12/20/2019,12/20/2019,N/A,Europe,1,1350000,Fortnite,2019
42823,Winter Royale 2019 EU Day 2 PC,12/21/2019,12/21/2019,N/A,Europe,1,1350000,Fortnite,2019
